2017-04-01 12:44:36,185 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-01 12:44:36,187 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 12:44:36,189 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-01 12:45:40,940 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @4247948ms
2017-04-01 12:45:41,068 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2017-04-01 12:45:41,126 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@6e2a84c9{/help,null,AVAILABLE}
2017-04-01 12:45:41,147 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@2b27e1d9{HTTP/1.1,[http/1.1]}{127.0.0.1:50364}
2017-04-01 12:45:41,148 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @4248156ms
2017-04-01 12:48:32,395 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 12:48:32,396 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-01 12:48:32,398 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 12:48:32,400 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-01 12:51:22,619 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 12:51:22,620 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
